county_name,state_name,age_pct_65_older,age_pct_under_18,age_pct_under_5,edu_bachelors_pct,edu_hs_or_higher_pct,employment_nonemployer_estab,ethnicity_native_pct,ethnicity_asian_pct,ethnicity_black_pct,ethnicity_hispanic_pct,ethnicity_pacific_islander_pct,ethnicity_two_or_more_pct,ethnicity_white_pct,Ethnicities.White Alone	  not Hispanic or Latino,housing_homeownership_pct,housing_households,housing_units,housing_median_value,housing_persons_per_hh,income_median_household,income_per_capita,misc_foreign_born_pct,misc_land_area_sqmi,misc_lang_noneng_pct,misc_same_house_1yr_pct,misc_manuf_shipments,misc_mean_travel_time_min,misc_pct_female,misc_veterans,population_2020,population_2010,population_density,sales_food_services,sales_retail,firms_total,firms_women_owned,firms_men_owned,firms_minority_owned,firms_nonminority_owned,firms_veteran_owned,firms_nonveteran_owned,county_clean
Calhoun County,FL,18.9,19.9,4.8,9.5,76.9,820.0,1.3,0.9,12.5,5.7,0.1,2.5,82.7,77.8,81.4,4501,5962.0,85000.0,2.74,38568,19304,2.6,567.33,6.3,83.9,778359.5,30.2,46.0,1056.0,13648,14625,25.8,222146.0,70115.0,812,302,378,142,646,61,680,Calhoun
Calhoun County,GA,16.6,16.9,4.0,9.1,72.9,283.0,0.6,0.9,60.8,5.1,0.3,1.3,36.1,32.7,65.6,1736,2406.0,51500.0,2.56,34167,14005,4.5,280.37,7.7,80.2,554410.0,23.4,39.5,323.0,5573,6694,23.9,817.0,19587.0,302,114,126,159,116,25,220,Calhoun
Calhoun County,IA,23.5,21.3,5.7,18.7,93.8,754.0,0.5,0.3,2.4,2.1,-1.0,1.1,95.7,93.7,78.8,4146,5147.0,82000.0,2.16,52323,28434,1.3,569.97,1.6,84.5,528536.5,19.0,48.1,715.0,9927,9670,17.0,20428.0,127036.0,1076,356,592,31,1023,40,917,Calhoun
Calhoun County,IL,24.1,20.2,4.7,14.2,91.6,309.0,0.2,0.3,0.4,1.4,0.0,0.7,98.3,97.1,87.3,1664,2901.0,121000.0,2.83,63009,28822,0.8,253.83,1.3,95.9,1973.0,40.5,49.7,385.0,4437,5089,20.0,38907.0,27335.0,382,189,104,0,374,0,337,Calhoun
Calhoun County,MI,18.2,22.6,6.0,21.0,91.0,6565.0,0.8,3.0,11.2,5.5,0.0,3.6,81.4,77.1,69.9,53991,60906.0,110000.0,2.41,48607,26855,4.2,706.23,6.4,85.7,5445110.0,20.6,51.0,9414.0,134310,136146,192.8,471217.0,1702331.0,9171,3271,4715,1334,7396,922,7788,Calhoun
Calhoun County,MS,19.5,23.2,5.6,11.8,77.5,947.0,0.4,0.2,28.5,6.3,0.0,1.2,69.7,64.3,74.5,5846,7030.0,70500.0,2.44,37263,19229,3.2,586.57,5.3,93.4,271109.0,25.9,51.9,435.0,13266,14962,25.5,26152.0,95228.0,1385,445,790,149,1204,139,1189,Calhoun
Calhoun County,SC,23.9,18.7,4.7,19.9,86.2,934.0,0.6,0.3,40.3,3.9,0.1,1.2,57.5,54.6,80.3,6179,7527.0,107200.0,2.34,46339,26398,1.9,381.15,4.3,93.2,1460241.0,29.8,52.0,1111.0,14119,15175,39.8,65913.0,65919.0,1001,403,548,238,729,208,758,Calhoun
Calhoun County,TX,18.7,23.9,6.5,14.2,79.3,1556.0,0.9,5.3,3.1,49.4,0.1,1.3,89.3,41.8,72.8,7582,12151.0,120200.0,2.82,58776,27268,12.9,506.84,32.5,87.6,11074535.0,18.9,48.7,1264.0,20106,21381,42.2,32946.0,435296.0,1697,457,943,693,825,94,1415,Calhoun
Calhoun County,WV,25.6,18.1,4.3,12.2,80.5,416.0,0.4,0.2,0.4,1.1,0.0,1.1,98.0,96.9,78.9,2826,4015.0,83500.0,2.57,38382,20447,0.8,279.25,1.6,89.4,258272.0,35.6,49.9,323.0,6229,7627,27.3,1050.0,27265.0,561,244,297,0,541,91,456,Calhoun
Callahan County,TX,21.2,21.9,5.6,21.0,88.2,1257.0,0.9,0.7,1.7,10.0,0.1,1.9,94.7,85.6,82.1,5367,6792.0,94900.0,2.57,48651,26051,1.6,899.37,7.8,89.0,575658.0,27.8,50.4,1158.0,13708,13544,15.1,33330.5,157006.0,920,262,523,78,818,141,726,Callahan
Callaway County,MO,16.7,20.9,5.5,23.1,86.2,2465.0,0.5,0.8,4.7,2.2,0.1,2.2,91.7,90.0,72.5,15973,19055.0,157400.0,2.56,56938,25849,1.7,834.58,2.1,86.4,506550.0,23.4,48.8,3347.0,44283,44332,53.1,37113.0,377586.0,2953,748,1650,116,2728,386,2204,Callaway
Calloway County,KY,17.5,17.9,4.8,28.5,89.5,2478.0,0.3,1.8,4.0,2.7,0.1,1.7,92.1,89.8,62.4,14996,19000.0,137300.0,2.34,42273,23219,3.9,385.02,4.8,81.5,828733.0,16.9,51.4,1988.0,37103,37191,96.6,60372.0,523829.0,2554,652,1576,117,2332,305,2131,Calloway
Calumet County,WI,15.7,23.3,5.2,29.4,94.2,2556.0,0.5,2.4,0.8,4.5,0.1,1.4,94.7,90.6,80.6,19807,21138.0,178900.0,2.51,75814,35527,2.6,318.24,5.7,91.8,1616796.0,20.7,49.6,2625.0,52442,48971,153.9,46991.0,418552.0,3364,1024,1701,109,3132,173,2976,Calumet
Calvert County,MD,15.5,23.0,5.3,32.4,94.7,6564.0,0.5,1.9,13.3,4.4,0.1,3.2,81.0,77.5,84.7,31973,35514.0,358800.0,2.84,109313,45783,2.8,213.15,4.2,88.7,84076.0,42.5,50.4,8738.0,92783,88737,416.3,390891.0,848445.0,7478,3133,3830,1284,5999,832,6374,Calvert
Camas County,ID,24.4,22.1,3.8,16.3,93.3,105.0,1.3,0.4,0.5,6.3,-1.0,3.4,94.4,88.7,75.6,394,875.0,183300.0,2.66,39688,30209,2.1,1074.49,1.7,88.2,172944.0,39.1,48.9,91.0,1077,1117,1.0,1425.0,111149.5,234,0,126,0,229,0,204,Camas
Cambria County,PA,23.2,19.1,4.9,21.1,92.0,6072.0,0.2,0.5,3.7,1.8,0.0,1.7,93.9,92.6,74.1,56674,66047.0,91900.0,2.23,46659,26008,1.1,688.35,2.4,88.9,1798810.0,24.4,50.7,10700.0,133472,143679,208.7,179029.0,1733778.0,8860,2856,4632,523,7807,789,7308,Cambria
Camden County,GA,14.2,24.1,7.0,23.9,91.3,2956.0,0.7,1.5,19.2,7.1,0.2,3.3,75.0,69.3,62.5,19338,22606.0,165700.0,2.66,56951,29741,4.5,613.03,6.0,80.8,554410.0,22.9,48.6,5878.0,54768,50513,82.4,80535.0,600072.0,2862,1246,1391,537,2214,543,2140,Camden
Camden County,MO,28.9,17.4,4.5,21.1,90.4,3942.0,0.7,0.7,0.7,2.9,0.1,1.5,96.4,94.0,80.7,16031,42080.0,200800.0,2.8,53478,28275,2.1,655.92,3.6,87.0,131248.0,24.0,50.4,4553.0,42745,44002,67.1,142866.0,648114.0,4544,1137,2322,95,4189,477,3587,Camden
Camden County,NC,16.9,22.6,5.0,17.1,86.5,730.0,0.6,2.1,11.5,3.0,0.1,3.0,82.7,80.5,81.9,3933,4381.0,208800.0,2.67,64572,28221,2.6,240.56,4.7,90.6,1006562.0,34.1,50.1,1332.0,10355,9980,41.5,1540.0,24903.0,742,191,485,113,618,249,469,Camden
Camden County,NJ,16.1,22.6,6.0,32.5,88.7,32429.0,0.7,6.0,21.6,17.6,0.1,2.6,69.0,55.8,66.8,187383,206357.0,197800.0,2.67,70451,35958,11.0,221.26,20.5,88.6,3053144.0,28.9,51.7,22867.0,523485,513657,2321.5,789366.0,6445832.0,36710,11432,22018,9352,26008,3604,31739,Camden
Cameron County,PA,28.1,17.7,4.8,13.7,90.7,216.0,0.4,0.4,1.1,1.5,0.1,1.5,96.5,95.3,72.0,2184,4421.0,78500.0,2.07,41165,24528,1.1,396.23,2.5,86.8,1779025.0,19.0,50.0,437.0,4547,5085,12.8,125825.5,30903.0,401,164,210,0,382,38,342,Cameron
Cameron County,TX,13.8,29.9,7.8,17.3,67.9,32692.0,0.7,0.8,0.8,90.0,0.1,0.6,97.1,8.6,65.9,124605,154019.0,85800.0,3.36,38758,17430,23.0,890.92,71.4,91.7,1709584.0,19.9,51.2,12717.0,421017,406220,456.0,635097.0,4124818.0,36598,14800,19045,29751,5662,2884,32621,Cameron
Cameron Parish,LA,17.0,21.9,5.7,12.7,84.7,688.0,0.7,0.4,4.0,4.2,0.1,1.7,93.2,89.3,84.4,2734,4277.0,119500.0,2.52,53423,28358,4.2,1284.89,10.8,95.9,1901186.0,33.0,50.6,509.0,5617,6839,5.3,1364.0,28323.0,758,147,491,25,677,94,598,Cameron
Camp County,TX,19.0,26.3,7.1,19.4,87.2,831.0,1.0,1.0,16.5,25.9,0.2,2.7,78.6,55.0,72.4,4605,5853.0,101600.0,2.78,48207,22449,10.1,195.83,20.8,88.4,575658.0,24.5,51.4,810.0,12464,12401,63.3,33330.5,111225.0,1084,355,600,170,883,134,889,Camp
Campbell County,KY,16.1,20.8,5.8,36.3,90.8,5703.0,0.2,1.1,3.0,2.2,0.0,1.7,94.0,92.2,69.7,36746,40857.0,172000.0,2.43,63050,34025,2.2,151.31,3.7,87.0,994676.0,22.8,50.9,5196.0,93076,90336,597.0,35974.5,1105217.0,6627,1881,3772,285,6118,579,5772,Campbell
Campbell County,SD,29.3,16.4,5.1,28.0,90.0,150.0,1.4,0.5,0.2,2.7,-1.0,0.9,97.0,94.8,86.5,673,985.0,68800.0,2.2,54449,32684,0.5,733.68,3.5,92.4,109693.0,18.0,48.3,67.0,1377,1466,2.0,4783.0,10929.0,144,67,68,0,116,0,125,Campbell
Campbell County,TN,21.0,20.3,5.6,12.4,77.3,2338.0,0.3,0.4,0.5,1.6,0.1,1.2,97.4,96.1,68.1,16192,21394.0,104400.0,2.42,39803,24212,1.0,480.19,1.2,86.2,235923.0,30.8,50.9,2624.0,39272,40716,84.8,40960.0,401490.0,3484,923,2169,154,3224,418,2918,Campbell
Campbell County,VA,20.3,19.4,4.9,22.5,87.2,3156.0,0.4,1.1,14.8,2.9,0.1,2.2,81.5,79.1,74.7,23071,26097.0,157000.0,2.37,49664,27739,2.4,503.87,3.0,89.9,1555414.0,24.5,51.4,4051.0,55696,54842,108.8,64268.0,600969.0,3807,1412,1930,420,3260,427,3058,Campbell
Campbell County,WY,10.7,27.1,7.2,18.9,92.9,3386.0,1.6,0.8,0.7,8.9,0.1,2.2,94.7,86.9,73.4,17574,20399.0,222700.0,2.66,82659,34776,3.1,4802.71,6.0,83.5,267792.0,21.3,48.6,3485.0,47026,46133,9.6,95074.0,895991.0,4666,1748,1946,222,4168,512,3708,Campbell
Canadian County,OK,13.3,26.0,6.7,27.4,91.4,11547.0,5.2,3.3,3.6,9.8,0.1,4.8,83.1,75.0,75.4,44906,49459.0,165500.0,3.08,72056,30755,4.5,896.63,8.7,86.6,1035638.0,24.3,50.3,9470.0,154405,115541,128.9,160620.0,1306788.0,10096,2879,5794,1391,8349,1098,8415,Canadian
Candler County,GA,18.6,25.0,6.2,13.0,77.3,819.0,0.3,1.1,24.9,12.3,0.1,1.4,72.1,61.2,57.6,4013,4797.0,96100.0,2.63,33736,20687,5.2,243.04,9.1,87.9,554410.0,21.7,51.2,626.0,10981,10998,45.3,33983.0,120044.0,746,230,445,166,550,89,623,Candler
Cannon County,TN,18.5,21.5,6.0,15.8,84.5,1106.0,0.4,0.4,1.8,2.5,0.1,1.5,95.9,93.9,74.8,5488,6164.0,164600.0,2.55,55330,26435,1.6,265.64,1.6,86.5,26109.0,32.1,50.2,871.0,14506,13801,52.0,40960.0,61151.0,942,266,599,27,901,112,816,Cannon
Canyon County,ID,14.0,27.9,7.3,18.7,85.1,13941.0,1.7,1.1,0.8,25.6,0.3,2.8,93.2,70.0,69.5,72807,80055.0,178300.0,2.94,52134,22232,7.9,587.37,18.7,81.5,172944.0,24.6,50.4,13436.0,231105,188923,321.6,180086.0,2149411.0,14444,4529,6462,1984,11722,1259,12082,Canyon
Cape Girardeau County,MO,17.1,21.3,5.8,31.5,91.0,5479.0,0.4,1.9,7.9,2.5,0.0,2.3,87.5,85.5,65.0,29594,34975.0,160500.0,2.54,53732,28267,2.8,578.54,3.7,79.4,2884546.0,20.0,51.6,5055.0,81710,75674,130.8,170964.0,1611435.0,6894,2112,3429,484,6016,640,5633,Cape Girardeau
Cape May County,NJ,27.3,17.3,4.4,32.8,92.5,8493.0,0.4,1.0,4.8,8.1,0.1,1.9,91.8,85.0,77.6,40171,99634.0,300500.0,2.25,67074,40389,4.7,251.43,8.5,88.6,98208.0,22.8,51.3,6720.0,95263,97265,386.9,592998.0,1639427.0,10928,3319,6043,675,9985,881,9437,Cape May
Carbon County,MT,26.8,17.0,3.6,30.4,94.2,1241.0,1.3,0.3,0.6,2.4,0.0,1.6,96.1,94.0,76.4,4524,6584.0,247600.0,2.32,58707,33067,1.0,2048.79,3.4,92.5,16801.0,25.7,49.4,1097.0,10473,10078,4.9,24815.0,72429.0,1780,515,647,34,1676,99,1408,Carbon
Carbon County,PA,21.7,19.2,4.8,17.9,89.4,3404.0,0.4,0.6,2.3,5.3,0.1,1.3,95.4,91.0,75.8,26043,34883.0,146400.0,2.42,57006,29202,2.7,381.46,4.6,90.7,414985.0,32.9,50.2,5205.0,64749,65249,171.1,112043.0,562613.0,4753,1441,2882,281,4253,523,4010,Carbon
Carbon County,UT,18.0,25.6,6.2,17.1,91.6,1124.0,1.6,0.7,0.6,13.4,0.2,2.1,94.8,82.9,73.7,7829,9872.0,140800.0,2.54,51158,23862,2.5,1478.49,5.1,84.7,121458.0,17.8,50.3,1139.0,20412,21403,14.5,25572.0,311296.0,1488,546,666,65,1339,70,1313,Carbon
Carbon County,WY,18.0,22.7,6.4,20.6,91.0,1165.0,1.8,1.0,1.2,18.5,0.1,1.9,93.9,76.9,69.6,6204,8845.0,174900.0,2.33,60161,29552,5.4,7897.58,15.5,84.6,102299.0,15.6,46.8,998.0,14537,15885,2.0,47696.0,305454.0,1449,506,511,127,1195,94,1184,Carbon
Caribou County,ID,17.3,29.0,7.2,19.0,91.2,466.0,0.7,0.4,0.1,6.4,0.3,1.3,97.2,91.2,79.3,2538,3333.0,145900.0,2.71,59053,26221,3.0,1764.15,3.9,90.5,172944.0,16.6,49.0,397.0,7027,6963,3.9,3910.0,79242.0,703,148,249,0,656,37,595,Caribou
Carlisle County,KY,21.6,23.0,6.6,14.9,83.3,416.0,0.7,0.3,1.5,2.5,-1.0,2.4,95.2,93.1,81.7,1980,2478.0,89300.0,2.39,45109,30065,1.2,189.43,1.5,94.9,10351.0,26.4,50.5,286.0,4826,5104,26.9,1252.0,19904.0,514,72,277,0,505,48,408,Carlisle
Carlton County,MN,17.5,22.3,5.3,22.1,94.0,1941.0,6.0,0.6,1.7,1.8,0.0,2.7,89.0,87.9,79.8,13613,16239.0,171400.0,2.45,63098,29440,1.3,861.38,3.5,90.3,763107.0,23.4,47.8,2585.0,36207,35386,41.1,34563.0,351811.0,2603,891,1175,114,2371,218,2122,Carlton
Caroline County,MD,16.7,23.6,6.1,18.4,84.3,2608.0,0.9,1.2,14.1,7.8,0.3,2.5,81.0,75.1,72.8,12024,13660.0,202500.0,2.71,58638,29624,5.2,319.42,8.3,88.6,302264.0,32.7,51.1,2242.0,33293,33066,103.5,390891.0,476213.0,2678,850,1460,221,2356,250,2199,Caroline
Caroline County,VA,16.9,22.8,6.3,19.9,85.1,1829.0,0.8,1.1,27.2,5.2,0.1,3.6,67.2,63.2,79.2,10946,12417.0,206000.0,2.57,65103,31568,3.7,527.51,5.7,83.5,76113.0,35.1,50.5,2613.0,30887,28545,54.1,18500.0,404165.0,2177,868,1061,601,1540,266,1844,Caroline
Carroll County,AR,23.9,21.4,5.6,21.2,86.3,2628.0,1.4,2.0,0.8,15.2,1.4,2.3,92.1,78.4,75.7,11139,13816.0,136900.0,2.49,46110,25295,8.6,630.09,13.1,89.2,741948.0,20.8,50.2,2325.0,28260,27446,43.6,56663.0,230181.0,3002,919,1479,217,2610,249,2547,Carroll
Carroll County,GA,13.8,23.6,6.4,21.1,84.6,8815.0,0.5,1.0,19.7,7.2,0.1,2.3,76.4,70.4,66.9,41903,46013.0,137800.0,2.71,53737,24993,4.0,499.08,7.0,81.6,6237802.0,28.4,51.3,5957.0,119148,110527,221.5,157657.0,1310431.0,9344,3563,4742,1910,7070,601,8319,Carroll
Carroll County,IA,20.7,24.5,6.4,22.4,93.5,1863.0,0.3,0.5,1.4,2.9,0.0,1.0,96.8,94.3,75.8,8726,9564.0,138900.0,2.28,59212,31648,1.5,569.44,2.4,89.5,904260.0,13.7,50.5,1201.0,20760,20816,36.6,22469.0,359969.0,2457,668,1262,26,2335,212,1983,Carroll
Carroll County,IL,25.8,19.3,5.1,19.5,91.2,957.0,0.5,0.6,1.1,3.9,0.0,1.6,96.2,92.8,76.6,6508,8474.0,106100.0,2.17,52410,29166,1.9,444.81,2.7,90.0,293097.0,24.7,50.2,1156.0,15702,15387,34.6,14959.0,95520.0,1486,425,861,0,1448,195,1226,Carroll
Carroll County,IN,20.0,22.1,5.7,16.7,88.4,1319.0,0.4,0.2,1.0,4.3,0.0,1.1,97.3,93.7,80.7,8002,9705.0,131700.0,2.49,54806,29366,2.6,372.22,3.6,90.0,1482367.0,28.6,49.7,1537.0,20306,20155,54.1,19367.0,99802.0,1254,262,779,32,1160,52,1138,Carroll
Carroll County,KY,15.7,25.8,7.3,8.2,78.3,498.0,0.4,0.6,2.1,7.0,0.1,2.5,94.3,88.2,64.3,4101,4738.0,115900.0,2.52,43524,25217,2.6,128.57,5.7,82.2,559741.0,19.7,49.7,699.0,10810,10811,84.1,35974.5,187801.0,783,224,366,31,706,45,666,Carroll
Carroll County,MD,17.3,21.6,5.5,36.4,92.7,12795.0,0.3,2.1,3.9,3.9,0.1,2.0,91.7,88.3,82.0,60758,63974.0,339600.0,2.7,96769,42083,3.9,447.6,5.0,91.3,1019422.0,36.2,50.5,10908.0,172891,167134,373.4,246824.0,2245218.0,14688,4670,8376,1032,13234,1524,12512,Carroll
Carroll County,MO,22.1,22.5,5.1,16.7,85.8,604.0,0.4,0.2,1.8,1.6,0.1,1.6,95.9,94.5,74.3,3503,4650.0,88200.0,2.47,50830,25715,1.7,694.62,4.5,88.2,468824.0,27.7,51.5,502.0,8495,9295,13.4,22307.0,83288.0,613,179,255,0,571,34,516,Carroll
Carroll County,MS,24.2,18.7,4.2,12.2,80.2,711.0,0.3,0.3,33.0,1.6,0.0,1.1,65.4,64.2,81.2,3827,5228.0,99000.0,2.57,46052,22385,0.0,628.24,0.0,92.0,483799.0,28.5,49.7,496.0,9998,10597,16.9,290.0,22111.0,747,278,437,171,562,82,622,Carroll
Carroll County,NH,29.0,15.3,3.6,34.3,94.2,5807.0,0.4,0.8,0.7,1.6,0.0,1.3,96.9,95.6,79.3,21456,41664.0,242800.0,2.22,63153,37490,2.6,931.06,2.5,88.0,225809.0,26.7,50.6,4015.0,50107,47818,51.4,246950.0,877660.0,7365,1780,4700,169,6923,760,6146,Carroll
Carroll County,OH,21.6,20.9,5.3,13.3,89.5,1887.0,0.3,0.4,0.7,1.3,0.0,1.3,97.2,96.2,78.7,11298,13606.0,126500.0,2.38,55267,29518,0.5,394.61,2.8,91.1,368567.0,28.4,50.0,1807.0,26721,28836,73.1,17925.0,204885.0,2125,548,1261,75,1979,266,1690,Carroll
Carroll County,TN,20.6,21.5,5.5,18.0,84.1,1597.0,0.6,0.4,10.1,2.9,0.1,2.1,86.6,84.3,73.1,10962,13273.0,88300.0,2.46,42637,22394,1.2,599.25,2.6,87.4,612461.0,26.8,51.1,1854.0,28440,28522,47.6,19464.0,204447.0,2115,617,1174,62,1955,248,1692,Carroll
Carroll County,VA,25.4,17.8,4.2,15.0,80.8,1715.0,0.3,0.2,0.9,3.9,0.1,1.3,97.2,94.0,78.3,12357,16708.0,112900.0,2.4,44835,25449,2.0,474.69,2.5,91.5,476138.5,26.0,50.4,1880.0,29155,30042,63.3,34380.0,285688.0,2103,513,1358,78,1988,257,1752,Carroll
Carson City,NV,19.8,20.5,5.4,22.2,87.0,665.0,2.3,2.7,2.1,24.1,0.1,2.6,82.0,67.0,56.8,22755,6076.5,273800.0,2.31,55718,31549,12.7,144.66,22.6,82.9,634030.0,20.2,48.6,4370.0,58639,55274,382.1,133404.0,918199.0,6630,1482,3251,940,4619,759,4590,Carson
Carson County,TX,21.1,23.4,5.0,28.4,93.3,421.0,1.6,0.7,1.1,9.7,0.1,2.1,94.5,85.5,81.0,2288,2793.0,114300.0,2.6,74872,34708,1.9,920.22,6.8,83.8,575658.0,23.3,49.7,387.0,5807,6182,6.7,33330.5,57377.0,379,121,189,0,354,0,356,Carson
Carter County,KY,19.4,22.3,6.1,12.6,79.2,1650.0,0.3,0.3,0.7,1.4,0.0,1.0,97.7,96.4,77.4,9606,12563.0,95000.0,2.75,34736,18778,0.5,409.5,1.1,90.8,253467.0,31.0,50.7,1077.0,26627,27720,67.7,28067.0,272826.0,2331,780,1313,0,2263,171,2111,Carter
Carter County,MO,20.9,23.1,6.3,15.5,84.8,512.0,1.3,0.2,0.5,2.9,0.0,2.3,95.7,93.4,77.4,2333,3265.0,101500.0,2.62,39530,22104,0.2,507.36,0.4,86.1,36149.0,27.4,51.5,466.0,5202,6265,12.3,4344.0,31129.0,524,204,220,0,501,48,456,Carter
Carter County,MT,26.1,21.6,7.7,20.2,92.5,134.0,1.0,0.1,0.2,1.1,-1.0,1.9,96.7,95.8,72.0,628,835.0,110900.0,2.07,48000,28577,0.0,3340.75,1.0,93.2,16801.0,18.2,50.1,73.0,1415,1160,0.3,11457.0,14676.0,152,0,46,0,148,0,141,Carter
Carter County,OK,17.2,24.9,6.9,20.5,88.0,3413.0,10.2,1.3,6.8,7.7,0.1,6.6,75.0,69.5,68.3,18339,21868.0,113000.0,2.58,51419,26094,3.3,822.18,6.7,83.9,4853476.0,19.7,51.2,3404.0,48003,47557,57.8,106736.0,889658.0,4589,1067,2682,599,3691,840,3452,Carter
Carter County,TN,22.4,18.1,4.4,17.5,83.5,3224.0,0.3,0.4,1.7,2.0,0.0,1.4,96.1,94.4,70.8,23784,28350.0,122600.0,2.3,38092,23205,1.4,341.2,2.0,86.8,188444.0,23.7,50.9,4528.0,56356,57424,168.3,48482.0,431196.0,3431,1012,2091,72,3269,372,2919,Carter
Carteret County,NC,25.7,17.2,4.0,29.1,91.6,6772.0,0.6,1.3,5.6,4.4,0.2,2.1,90.1,86.5,72.6,29755,50965.0,214100.0,2.28,57194,33722,3.1,506.25,5.4,85.3,343677.0,23.4,51.0,7927.0,67686,66469,131.3,164400.0,972796.0,7585,2293,4138,403,6869,1134,5810,Carteret
Carver County,MN,12.6,26.4,6.3,48.9,96.1,8356.0,0.3,3.4,2.2,4.4,0.0,1.9,92.2,88.3,81.9,36754,39750.0,313200.0,2.75,101496,47221,4.8,354.33,7.4,89.3,3992288.0,26.6,50.3,4485.0,106922,91042,256.9,38159.0,907751.0,9923,2904,5401,596,9089,710,8734,Carver
Cascade County,MT,19.1,22.4,6.5,25.7,91.8,4883.0,4.9,1.0,1.7,4.7,0.1,3.9,88.4,84.9,64.4,34329,39206.0,179900.0,2.3,49913,30110,2.1,2698.16,3.0,82.2,955330.0,15.9,49.5,9249.0,84414,81327,30.1,194725.0,1359702.0,7315,2548,3581,286,6635,792,6019,Cascade
Casey County,KY,20.4,22.9,6.4,12.8,76.0,1234.0,0.4,0.4,1.1,2.9,0.0,1.1,97.0,94.4,77.3,6099,7560.0,87600.0,2.53,34819,18457,1.1,444.23,4.1,86.5,237715.0,29.7,51.3,759.0,15941,15955,35.9,7640.0,83126.0,1417,270,807,0,1336,110,1200,Casey
Cass County,IA,23.5,22.1,5.3,20.1,88.0,1168.0,0.5,0.5,0.5,2.8,0.5,0.9,97.2,94.9,69.2,5921,6574.0,102100.0,2.16,50187,28302,1.3,564.27,2.6,87.4,157480.0,18.3,50.9,798.0,13127,13956,24.7,14415.0,195926.0,1626,345,899,0,1549,157,1319,Cass
Cass County,IL,18.3,24.4,7.0,15.1,84.0,691.0,0.7,0.8,5.1,19.3,0.2,1.5,91.7,74.6,74.6,5043,5824.0,80800.0,2.44,52373,26992,11.1,375.82,17.4,88.9,741144.5,20.4,49.9,797.0,13042,13642,36.3,38907.0,119823.0,1011,409,539,236,751,148,824,Cass
Cass County,IN,18.3,22.9,6.1,13.3,85.4,1785.0,1.2,2.1,2.4,16.5,0.2,1.6,92.5,78.4,74.0,14688,16340.0,89300.0,2.49,49415,24948,9.1,412.16,15.4,87.2,1768078.0,20.2,50.0,2529.0,37870,38966,94.5,40824.0,341597.0,2294,743,1157,91,2076,266,1812,Cass
Cass County,MI,21.5,20.6,4.9,19.2,87.7,3039.0,1.2,0.8,5.2,4.1,0.1,3.0,89.7,86.3,80.0,21019,26520.0,142800.0,2.43,55107,31295,1.7,490.06,3.2,87.4,721748.0,25.1,49.8,3558.0,51589,52293,106.7,30916.0,256877.0,3775,1251,2216,281,3415,315,3228,Cass
Cass County,MN,26.5,20.8,5.1,23.2,92.2,2648.0,12.4,0.4,0.4,2.3,0.0,2.3,84.4,83.0,81.5,13164,26308.0,194200.0,2.19,52204,30326,1.2,2021.54,3.4,88.7,56431.0,23.6,48.9,2846.0,30066,28567,14.1,144749.0,255710.0,2863,812,1457,130,2651,306,2352,Cass
Cass County,MO,17.3,23.8,5.9,26.3,92.4,7397.0,0.7,0.9,4.6,4.6,0.1,2.6,91.2,87.3,76.5,39770,42878.0,181000.0,2.58,69433,32868,2.0,696.84,3.7,87.7,557304.0,28.4,51.2,8169.0,107824,99478,142.8,89376.0,984693.0,7025,2162,3662,443,6321,651,6012,Cass
Cass County,ND,12.5,22.5,6.9,40.2,94.8,13264.0,1.5,3.4,6.4,2.8,0.1,2.1,86.7,84.4,52.1,75843,85442.0,223800.0,2.27,64482,37620,7.4,1764.94,7.9,76.5,3451134.0,16.4,49.5,8873.0,184525,149778,84.9,446791.0,3790350.0,15994,5006,8748,662,14573,1492,13339,Cass
Cass County,NE,18.1,23.5,5.6,27.7,94.4,1962.0,0.6,0.5,0.8,3.7,0.1,1.8,96.2,93.2,81.7,9945,11730.0,173800.0,2.57,71846,33851,1.3,557.45,2.2,88.2,170469.0,26.5,49.5,2591.0,26598,25241,45.3,4370.0,177805.0,1982,535,895,34,1905,233,1613,Cass
Cass County,TX,22.8,22.2,5.7,16.4,85.9,1920.0,0.8,0.5,17.0,4.8,0.1,1.6,80.0,76.0,79.3,11934,14727.0,87100.0,2.49,44848,23075,2.1,936.96,4.2,93.3,575658.0,24.3,51.7,2698.0,28454,30464,32.5,18794.0,218410.0,2056,662,1109,278,1631,232,1620,Cass
Cassia County,ID,14.5,31.6,8.0,18.6,83.6,1581.0,1.5,0.8,0.9,27.2,0.3,1.8,94.7,69.7,70.3,7711,8925.0,162100.0,3.02,52935,21687,10.7,2565.08,20.8,84.5,917071.0,16.6,49.2,1087.0,24655,22952,8.9,11378.5,323891.0,1989,340,1094,145,1764,234,1465,Cassia
Castro County,TX,16.4,28.7,7.3,15.6,74.1,455.0,1.8,0.7,2.7,65.7,0.0,1.0,93.8,30.8,64.5,2532,3190.0,81900.0,3.0,50142,21884,16.6,894.43,52.3,91.3,575658.0,16.9,48.7,299.0,7371,8062,9.0,3088.0,54972.0,492,166,266,240,232,28,427,Castro
Caswell County,NC,22.1,18.7,4.9,15.9,80.4,1149.0,0.8,0.6,32.3,4.6,0.0,1.8,64.5,61.0,76.4,9145,10892.0,112800.0,2.36,45733,23901,2.6,424.92,4.2,90.6,33308.0,31.6,49.2,1424.0,22736,23719,55.8,75439.0,63883.0,1106,480,480,279,801,88,992,Caswell
